head,relation,tail
祝我幸福,包含意象,[]
祝我幸福,核心情感,"['缺憾', '眷恋']"
祝我幸福,风格标签,"['叙事抒情', '口语化']"
祝我幸福,歌曲主题,['爱情']
杨乃文,演唱,祝我幸福
推开世界的门,包含意象,"['泥', '花衣裳']"
推开世界的门,核心情感,"['深情回望', '渴求和解']"
推开世界的门,风格标签,"['民谣叙事', '意象象征']"
推开世界的门,歌曲主题,['成长']
杨乃文,演唱,推开世界的门
日落西沉,包含意象,"['候鸟', '洋流', '流星']"
日落西沉,核心情感,"['释然超脱', '沉静决绝']"
日落西沉,风格标签,"['画面白描', '明确比喻', '内省独白']"
日落西沉,歌曲主题,['爱情']
杨乃文,演唱,日落西沉
女爵,包含意象,"['国境', '城池围墙', '外衣', '王位', '宝座', '女爵']"
女爵,核心情感,"['孤绝的奉献', '权力虚无', '冷寂的炽热']"
女爵,风格标签,"['铺排与复沓', '隐喻体系', '戏剧独白']"
女爵,歌曲主题,['爱情']
杨乃文,演唱,女爵
分开,包含意象,"['伞', '早餐']"
分开,核心情感,"['迷惘', '眷恋']"
分开,风格标签,"['内心剖析', '直白设问']"
分开,歌曲主题,['爱情']
杨乃文,演唱,分开
懂还是不懂,包含意象,[]
懂还是不懂,核心情感,['困惑疏离']
懂还是不懂,风格标签,['重复递进']
懂还是不懂,歌曲主题,['自我认知']
杨乃文,演唱,懂还是不懂
转身,包含意象,"['金币', '名利场', '追光', '明星脸']"
转身,核心情感,"['疏离审视', '冷峻洞悉']"
转身,风格标签,"['排比长句', '社会隐喻笔法', '内心独白式']"
转身,歌曲主题,['人生哲思']
杨乃文,演唱,转身
你就是吃定我,包含意象,[]
你就是吃定我,核心情感,"['清醒的沉沦', '哀怨']"
你就是吃定我,风格标签,"['第二人称直述', '递进式控诉', '直白倾诉']"
你就是吃定我,歌曲主题,['爱情']
杨乃文,演唱,你就是吃定我
不要告别,包含意象,"['香烟', '峰巅']"
不要告别,核心情感,"['沉郁恳求', '虚无疲惫']"
不要告别,风格标签,['浓烈意象']
不要告别,歌曲主题,['离别']
杨乃文,演唱,不要告别
如一,包含意象,[]
